"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"IMF.RES:WEO(9.0.0)","GBR.NGDPD.A","OBS_VALUE","United Kingdom","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1197.021","1248.625","1289.587","1155.162","1241.720","1344.504","1421.099","1561.239","1653.852","1688.248","1668.690","1650.252","1788.549","2056.294","2422.619","2546.038","2712.257","3091.695","2960.390","2421.476","2487.924","2664.719","2707.571","2786.665","3066.304","2928.558","2699.086","2682.384","2875.024","2853.074","2698.705"
"IMF.RES:WEO(9.0.0)","DEU.NGDPD.A","OBS_VALUE","Germany","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1604.497","1882.489","2146.140","2080.092","2220.165","2595.269","2507.448","2221.504","2250.847","2216.072","1967.850","1966.395","2100.865","2534.081","2851.023","2894.992","3046.470","3484.467","3807.781","3474.768","3469.925","3822.903","3598.761","3807.079","3965.893","3425.446","3535.812","3764.023","4057.272","3960.332","3938.244"
"IMF.RES:WEO(9.0.0)","AUT.NGDPD.A","OBS_VALUE","Austria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","165.953","173.481","194.436","189.342","202.854","239.914","236.044","211.978","217.363","216.637","196.268","196.479","212.687","260.714","299.075","314.126","333.924","386.806","429.187","398.857","390.146","428.879","407.008","426.587","438.669","379.584","393.579","414.780","452.787","443.033","434.050"
"IMF.RES:WEO(9.0.0)","BEL.NGDPD.A","OBS_VALUE","Belgium","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","200.150","205.370","228.733","218.721","238.623","288.302","279.292","253.022","258.876","258.503","236.897","236.748","258.200","318.004","369.047","385.927","408.281","470.978","517.271","484.488","481.949","527.106","498.731","524.106","538.127","461.091","474.141","500.733","542.885","536.787","529.269"
"IMF.RES:WEO(9.0.0)","ITA.NGDPD.A","OBS_VALUE","Italy","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1164.328","1229.898","1305.099","1049.470","1082.455","1177.984","1315.136","1246.340","1274.381","1256.251","1150.169","1172.049","1280.841","1582.534","1811.987","1866.013","1958.667","2222.785","2417.242","2207.085","2146.687","2306.568","2099.259","2153.259","2173.815","1845.615","1886.590","1970.027","2100.387","2019.831","1905.956"
"IMF.RES:WEO(9.0.0)","DNK.NGDPD.A","OBS_VALUE","Denmark","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","138.219","139.182","152.966","143.110","156.019","184.850","187.482","173.242","176.876","177.887","164.043","164.881","178.788","218.422","251.988","265.150","283.387","320.213","354.977","322.621","322.346","344.316","326.793","344.631","352.833","301.759","312.182","331.611","355.293","345.402","355.631"
"IMF.RES:WEO(9.0.0)","FRA.NGDPD.A","OBS_VALUE","France","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1260.874","1263.244","1392.563","1315.795","1388.477","1596.250","1599.248","1451.058","1498.974","1488.392","1361.560","1370.386","1491.373","1834.637","2108.835","2193.358","2317.985","2656.130","2926.483","2697.144","2648.391","2869.903","2684.706","2816.119","2861.973","2442.731","2469.726","2587.955","2782.838","2723.094","2645.806"
"IMF.RES:WEO(9.0.0)","NLD.NGDPD.A","OBS_VALUE","Netherlands, The","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","321.859","331.565","366.520","356.434","383.091","453.377","451.508","418.023","439.215","448.223","417.834","432.539","475.194","582.290","660.925","688.514","737.633","853.600","957.797","878.000","853.161","912.980","846.225","883.964","901.789","775.822","796.944","847.934","930.155","929.006","931.814"
"IMF.RES:WEO(9.0.0)","LUX.NGDPD.A","OBS_VALUE","Luxembourg","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.628","13.683","15.328","15.714","17.487","20.571","20.464","18.428","19.263","21.089","21.240","21.388","23.633","29.660","35.049","37.693","42.912","51.594","58.838","54.408","56.260","61.685","59.814","65.204","68.822","60.078","62.200","65.689","71.118","69.880","73.612"
"IMF.RES:WEO(9.0.0)","SMR.NGDPD.A","OBS_VALUE","San Marino, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","1.008","1.060","1.148","1.462","1.714","1.788","1.910","2.189","2.403","2.062","1.883","1.813","1.606","1.678","1.674","1.420","1.468","1.528","1.656","1.616","1.543"
"IMF.RES:WEO(9.0.0)","CHE.NGDPD.A","OBS_VALUE","Switzerland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","265.911","269.003","279.764","272.006","301.246","353.063","340.266","294.841","303.243","297.581","279.284","286.768","309.597","362.151","403.459","418.261","441.865","491.056","566.952","553.882","598.337","715.857","686.542","706.784","726.664","693.814","687.766","695.507","725.889","721.896","741.288"
"IMF.RES:WEO(9.0.0)","SWE.NGDPD.A","OBS_VALUE","Sweden","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","259.299","271.721","282.441","212.644","228.700","267.052","291.952","268.250","270.888","274.317","262.902","242.497","267.371","334.072","384.546","391.689","422.526","490.050","514.614","434.311","492.751","570.539","549.740","584.125","577.728","501.602","513.058","535.172","549.649","530.894","544.266"
"IMF.RES:WEO(9.0.0)","NOR.NGDPD.A","OBS_VALUE","Norway","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","119.791","121.872","130.838","120.579","127.132","152.031","163.520","161.357","154.230","162.384","171.456","174.240","195.915","229.385","265.267","309.979","346.914","402.646","464.915","387.974","431.052","501.361","512.777","526.014","501.737","388.160","370.957","401.745","439.789","408.743","367.633"
"IMF.RES:WEO(9.0.0)","FIN.NGDPD.A","OBS_VALUE","Finland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","141.726","128.215","113.139","89.177","103.621","134.210","132.046","127.027","134.164","135.369","126.023","129.521","140.262","171.570","197.369","204.973","217.056","256.390","285.667","253.206","249.633","275.079","257.606","270.272","273.549","233.234","238.712","253.757","273.993","267.044","269.784"
"IMF.RES:WEO(9.0.0)","LIE.NGDPD.A","OBS_VALUE","Liechtenstein, Principality of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","2.701","2.708","2.906","3.311","3.735","3.964","4.338","5.006","5.512","4.858","5.503","6.197","5.866","6.392","6.658","6.269","6.237","6.474","6.693","6.437","6.405"
"IMF.RES:WEO(9.0.0)","AND.NGDPD.A","OBS_VALUE","Andorra, Principality of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","1.429","1.547","1.758","2.362","2.896","3.158","3.456","3.952","4.082","3.675","3.446","3.625","3.189","3.193","3.267","2.789","2.895","2.993","3.217","3.155","2.885"
"IMF.RES:WEO(9.0.0)","ESP.NGDPD.A","OBS_VALUE","Spain","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","536.322","577.166","630.910","529.980","531.801","614.713","642.480","590.500","619.541","635.025","598.367","627.803","708.437","907.736","1069.344","1155.306","1261.914","1476.920","1635.936","1494.963","1429.155","1487.307","1331.838","1362.207","1380.600","1206.287","1242.673","1321.288","1432.292","1403.651","1288.751"
"IMF.RES:WEO(9.0.0)","MLT.NGDPD.A","OBS_VALUE","Malta","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","3.353","3.419","3.461","3.667","3.827","4.042","4.072","4.462","5.425","6.109","6.392","6.783","7.972","9.171","8.760","9.104","9.788","9.616","10.797","11.891","11.342","12.022","14.156","16.161","16.340","16.392"
"IMF.RES:WEO(9.0.0)","GRC.NGDPD.A","OBS_VALUE","Greece","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","96.601","104.164","114.846","107.505","115.055","135.036","142.513","138.930","139.821","143.693","127.438","132.051","150.148","196.881","234.873","242.450","269.088","314.264","351.083","326.474","296.660","283.178","238.992","236.560","233.972","194.587","193.044","200.310","213.396","207.329","191.210"
"IMF.RES:WEO(9.0.0)","ISL.NGDPD.A","OBS_VALUE","Iceland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","6.504","6.949","7.105","6.225","6.393","7.124","7.426","7.717","8.638","9.108","9.140","8.323","9.416","11.565","13.964","17.146","17.672","21.960","18.248","13.213","13.923","15.394","14.944","16.244","18.052","17.700","21.084","25.060","26.678","24.986","22.035"
"IMF.RES:WEO(9.0.0)","IRL.NGDPD.A","OBS_VALUE","Ireland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","48.199","48.840","54.911","51.364","55.843","69.260","75.928","82.957","90.305","98.993","100.253","109.347","128.505","164.630","194.283","211.993","232.193","270.112","275.417","236.187","221.914","240.934","227.066","242.928","266.559","302.133","305.347","348.232","395.960","407.256","435.659"
"IMF.RES:WEO(9.0.0)","PRT.NGDPD.A","OBS_VALUE","Portugal","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","79.439","89.904","108.119","95.139","99.692","118.182","122.655","117.211","124.124","127.597","118.658","121.605","134.700","165.185","189.296","197.363","208.767","240.524","263.388","244.402","238.639","245.383","216.674","226.681","230.138","199.059","206.249","220.785","242.203","240.142","229.435"
"IMF.RES:WEO(9.0.0)","TUR.NGDPD.A","OBS_VALUE","Türkiye, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","207.578","208.473","219.250","248.657","179.420","233.645","250.571","261.946","277.693","254.300","273.570","203.001","238.674","317.342","408.309","506.794","554.902","686.909","787.897","656.134","783.025","843.326","882.437","962.457","943.337","868.204","870.339","863.906","807.318","775.223","730.345"
"IMF.RES:WEO(9.0.0)","BLR.NGDPD.A","OBS_VALUE","Belarus, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","12.800","11.408","15.687","10.532","14.494","14.091","15.215","12.133","10.785","12.778","15.092","18.420","23.928","31.239","38.219","46.815","62.798","50.855","57.220","61.368","65.669","75.496","78.736","56.329","47.703","54.723","60.011","64.414","61.312"
"IMF.RES:WEO(9.0.0)","ALB.NGDPD.A","OBS_VALUE","Albania","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.221","1.333","0.843","1.461","2.361","2.882","3.200","2.225","2.555","3.226","3.488","3.927","4.356","5.561","7.177","8.052","8.896","10.677","12.881","12.044","11.937","12.899","12.324","12.784","13.246","11.389","11.862","13.053","15.380","15.582","15.271"
"IMF.RES:WEO(9.0.0)","KAZ.NGDPD.A","OBS_VALUE","Kazakhstan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","2.875","5.152","11.881","16.639","21.035","22.166","22.135","16.871","18.292","22.153","24.637","30.834","43.152","57.125","81.003","104.850","133.442","115.309","148.047","192.626","207.999","236.635","221.416","184.388","137.278","166.806","179.340","181.667","171.082"
"IMF.RES:WEO(9.0.0)","GEO.NGDPD.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","0.850","1.961","3.148","3.608","3.730","2.898","3.144","3.311","3.493","4.103","5.269","6.590","7.979","10.458","13.158","11.069","12.425","15.475","16.894","17.516","17.966","15.223","15.445","16.472","17.905","17.645","16.013"
"IMF.RES:WEO(9.0.0)","RUS.NGDPD.A","OBS_VALUE","Russian Federation","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","71.603","196.227","293.768","335.777","412.685","433.704","287.672","209.657","278.264","328.475","370.062","461.518","633.294","817.717","1060.901","1393.416","1779.109","1307.927","1633.111","2046.621","2191.486","2288.428","2048.837","1356.703","1280.648","1575.140","1653.005","1695.724","1488.118"
"IMF.RES:WEO(9.0.0)","BGR.NGDPD.A","OBS_VALUE","Bulgaria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","29.882","2.928","11.882","6.449","11.338","18.992","12.295","11.317","15.031","13.628","13.246","14.183","16.403","21.146","26.158","29.868","34.380","44.432","54.476","52.024","50.690","57.682","54.297","55.820","57.081","50.766","53.929","59.288","66.318","68.639","70.658"
"IMF.RES:WEO(9.0.0)","MDA.NGDPD.A","OBS_VALUE","Moldova, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.864","1.110","1.158","1.441","1.694","1.928","1.697","1.172","1.315","1.481","1.662","1.981","2.598","2.988","3.408","4.401","6.055","5.438","6.977","8.417","8.708","9.496","9.402","7.778","7.981","9.515","11.252","11.737","11.530"
